59;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Autres médécins;;;
60;9/4/2018 00:00:00;9/4/2018 00:00:00;;;Cardiologue;;;
61;10/4/2018 00:00:00;10/4/2018 00:00:00;;;Dentiste;;;
62;11/4/2018 00:00:00;11/4/2018 00:00:00;;;Etablissement de santé;;;
63;12/4/2018 00:00:00;12/4/2018 00:00:00;;;Laboratoires;;;
64;13/4/2018 00:00:00;13/4/2018 00:00:00;;;Médecins généralistes;;;
65;14/4/2018 00:00:00;14/4/2018 00:00:00;;;Ophtalmologue;;;
66;15/4/2018 00:00:00;15/4/2018 00:00:00;;;ORL;;;
67;16/4/2018 00:00:00;16/4/2018 00:00:00;;;Radiologue;;;
68;17/4/2018 00:00:00;17/4/2018 00:00:00;;;Spécialistes femme;;;
135;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Addictologie;Problème d'alcool, Problème drogue, Problème tabac;;59
136;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Alcoologie;Problème d'alcool;;59
137;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Algologie;Douleurs;;59
138;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Allergologie;Allergies;;59
139;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Andrologie;Pénis;;59
140;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Anesthésiologie-réanimation;Anesthésiste - Réanimateur;;59
141;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Cancérologie/Oncologie;Cancer;;59
142;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie orthopédique et traumatologique;Os, Pied, Jambes;;59
143;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie pédiatrique;Enfants;;59
144;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie plastique, reconstructrice et esthétique;Réparation de la peau;;59
145;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie urologique;Urine;;59
146;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie viscérale et digestive;Ventre;;59
147;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Dermatologie et vénéréologie;Peau, bouton, brulure;;59
148;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Endocrinologie et métabolisme/diabétologie;Diabète, croissance;;59
149;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Gastro-entérologie et hépatologie;ventre;;59
150;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Gériatrie;Personnes agées;;59
151;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Hématologie;Drépanocytose, sang;;59
152;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Maladies infectieuses et tropicales;Paludisme, ébola, fièvres,..;;59
153;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Médecine du sport;sport;;59
154;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Médecine du travail;Visite médicale;;59
155;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Médecine physique et de réadaptation;Os, jambe , pied;;59
156;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Néonatologie;Prématuré, bébé;;59
157;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Néphrologie;Reins;;59
158;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Neurochirurgie;Cerveau;;59
159;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Neurologie;Cerveau;;59
160;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Neuropédiatrie;Cerveau enfant;;59
161;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Neuropsychiatrie;Psychiatrie;;59
162;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Orthopédie;Os, jambe , pied;;59
163;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Pédiatrie;Enfants, bébé;;59
164;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Pneumologie;Poumons, respiration;;59
165;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Proctologie;Hémorrhoïdes;;59
166;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Psychiatrie;Psychiatrie;;59
167;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Rhumatologie;Os, articulation, dos,…;;59
168;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Santé publique et médecine préventive;Dispensaire, PMI;;59
169;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Soins palliatifs;Fin de vie;;59
170;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Tabacologie;Cigarette;;59
171;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Urologie;Urine;;59
172;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Angiologie;Cœur, Cardiologue;;60
173;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Cardiologie;Cœur, Cardiologue;;60
174;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie thoracique et cardio-vasculaire;Cœur;;60
175;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Chirurgie vasculaire;Cœur;;60
176;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Coronarographie;Cœur;;60
177;8/4/2018 00:00:00;8/4/2018 00:00:00;;;Phlébologie;Veine;;60
